Category | Function,Role,Resource type,Unit,Region,Rate_low,Rate_high,Currency,Source,Notes
Account Management,Group Account Director,FTE,Hour,EU-IT,175.0,175.0,EUR,OP_Content Lab,Exact Rate Match
Account Management,Group Account Director,FTE,Hour,LATAM-BR,875.0,875.0,BRL,OP_Content Lab,Exact Rate Match
Account Management,Group Account Director,FTE,Hour,APAC-CN,1325.0,1325.0,CNY,OP_Content Lab,Exact Rate Match
Account Management,Group Account Director,FTE,Hour,NA-CA,195.0,195.0,CAD,OP_Content Lab,Exact Rate Match
Account Management,Group Account Director,FTE,Hour,EU-CH,225.0,225.0,CHF,OP_Content Lab,Exact Rate Match
Account Management,Group Account Director,FTE,Hour,APAC-IN,30.0,30.0,USD,OP_Content Lab,Exact Rate Match
Account Management,Group Account Director,FTE,Hour,APAC-CN-USD,42.0,42.0,USD,OP_Content Lab,Exact Rate Match
Account Management,Group Account Director,FTE,Hour,LATAM-MX,45.0,45.0,USD,OP_Content Lab,Exact Rate Match
Account Management,Group Account Director,FTE,Hour,EU-PL,47.5,47.5,USD,OP_Content Lab,Exact Rate Match
Account Management,Head of Account Management,FTE,Hour,UK-LON,275.0,275.0,GBP,OP_Content Lab,Exact Rate Match
Account Management,Head of Account Management,FTE,Hour,EU-ES,195.0,195.0,EUR,OP_Content Lab,Exact Rate Match
Account Management,Head of Account Management,FTE,Hour,EU-FR,250.0,250.0,EUR,OP_Content Lab,Exact Rate Match
Account Management,Head of Account Management,FTE,Hour,EU-DE,250.0,250.0,EUR,OP_Content Lab,Exact Rate Match
Account Management,Head of Account Management,FTE,Hour,EU-IT,180.0,180.0,EUR,OP_Content Lab,Exact Rate Match
Account Management,Head of Account Management,FTE,Hour,LATAM-BR,950.0,950.0,BRL,OP_Content Lab,Exact Rate Match
Account Management,Head of Account Management,FTE,Hour,APAC-CN,1824.0,1824.0,CNY,OP_Content Lab,Exact Rate Match
Account Management,Head of Account Management,FTE,Hour,NA-CA,220.0,220.0,CAD,OP_Content Lab,Exact Rate Match
Account Management,Head of Account Management,FTE,Hour,EU-CH,250.0,250.0,CHF,OP_Content Lab,Exact Rate Match
Account Management,Head of Account Management,FTE,Hour,APAC-IN,30.0,30.0,USD,OP_Content Lab,Exact Rate Match
Account Management,Head of Account Management,FTE,Hour,APAC-CN-USD,42.0,42.0,USD,OP_Content Lab,Exact Rate Match
Account Management,Head of Account Management,FTE,Hour,LATAM-MX,45.0,45.0,USD,OP_Content Lab,Exact Rate Match
Account Management,Head of Account Management,FTE,Hour,EU-PL,47.5,47.5,USD,OP_Content Lab,Exact Rate Match
Account Management,Head of Digital,FTE,Hour,UK-LON,200.0,200.0,GBP,OP_Content Lab,Exact Rate Match
Account Management,Head of Digital,FTE,Hour,EU-ES,165.0,165.0,EUR,OP_Content Lab,Exact Rate Match
Account Management,Head of Digital,FTE,Hour,EU-FR,220.0,220.0,EUR,OP_Content Lab,Exact Rate Match
Account Management,Head of Digital,FTE,Hour,EU-DE,225.0,225.0,EUR,OP_Content Lab,Exact Rate Match
Account Management,Head of Digital,FTE,Hour,EU-IT,175.0,175.0,EUR,OP_Content Lab,Exact Rate Match
Account Management,Head of Digital,FTE,Hour,LATAM-BR,875.0,875.0,BRL,OP_Content Lab,Exact Rate Match
Account Management,Head of Digital,FTE,Hour,APAC-CN,1325.0,1325.0,CNY,OP_Content Lab,Exact Rate Match
Account Management,Head of Digital,FTE,Hour,NA-CA,195.0,195.0,CAD,OP_Content Lab,Exact Rate Match
Account Management,Head of Digital,FTE,Hour,EU-CH,225.0,225.0,CHF,OP_Content Lab,Exact Rate Match
Account Management,Head of Digital,FTE,Hour,APAC-IN,30.0,30.0,USD,OP_Content Lab,Exact Rate Match
Account Management,Head of Digital,FTE,Hour,APAC-CN-USD,42.0,42.0,USD,OP_Content Lab,Exact Rate Match
Account Management,Head of Digital,FTE,Hour,LATAM-MX,45.0,45.0,USD,OP_Content Lab,Exact Rate Match
Account Management,Head of Digital,FTE,Hour,EU-PL,47.5,47.5,USD,OP_Content Lab,Exact Rate Match
Business Affairs,Assistant Business Manager,FTE,Hour,UK-LON,95.0,95.0,GBP,OP_Content Lab,Exact Rate Match
Business Affairs,Assistant Business Manager,FTE,Hour,EU-ES,100.0,100.0,EUR,OP_Content Lab,Exact Rate Match
Business Affairs,Assistant Business Manager,FTE,Hour,EU-FR,140.0,140.0,EUR,OP_Content Lab,Exact Rate Match
Business Affairs,Assistant Business Manager,FTE,Hour,EU-DE,140.0,140.0,EUR,OP_Content Lab,Exact Rate Match
Business Affairs,Assistant Business Manager,FTE,Hour,EU-IT,120.0,120.0,EUR,OP_Content Lab,Exact Rate Match
Business Affairs,Assistant Business Manager,FTE,Hour,LATAM-BR,580.0,580.0,BRL,OP_Content Lab,Exact Rate Match
Business Affairs,Assistant Business Manager,FTE,Hour,APAC-CN,775.0,775.0,CNY,OP_Content Lab,Exact Rate Match
Business Affairs,Assistant Business Manager,FTE,Hour,NA-CA,122.0,122.0,CAD,OP_Content Lab,Exact Rate Match
Business Affairs,Assistant Business Manager,FTE,Hour,EU-CH,140.0,140.0,CHF,OP_Content Lab,Exact Rate Match
Business Affairs,Assistant Business Manager,FTE,Hour,APAC-IN,30.0,30.0,USD,OP_Content Lab,Exact Rate Match
Business Affairs,Assistant Business Manager,FTE,Hour,APAC-CN-USD,42.0,42.0,USD,OP_Content Lab,Exact Rate Match
Business Affairs,Assistant Business Manager,FTE,Hour,LATAM-MX,45.0,45.0,USD,OP_Content Lab,Exact Rate Match
Business Affairs,Assistant Business Manager,FTE,Hour,EU-PL,47.5,47.5,USD,OP_Content Lab,Exact Rate Match
Business Affairs,Business Manager,FTE,Hour,UK-LON,130.0,130.0,GBP,OP_Content Lab,Exact Rate Match
Business Affairs,Business Manager,FTE,Hour,EU-ES,120.0,120.0,EUR,OP_Content Lab,Exact Rate Match
Business Affairs,Business Manager,FTE,Hour,EU-FR,175.0,175.0,EUR,OP_Content Lab,Exact Rate Match
Business Affairs,Business Manager,FTE,Hour,EU-DE,150.0,150.0,EUR,OP_Content Lab,Exact Rate Match
Business Affairs,Business Manager,FTE,Hour,EU-IT,127.0,127.0,EUR,OP_Content Lab,Exact Rate Match
Business Affairs,Business Manager,FTE,Hour,LATAM-BR,640.0,640.0,BRL,OP_Content Lab,Exact Rate Match
Business Affairs,Business Manager,FTE,Hour,APAC-CN,710.0,710.0,CNY,OP_Content Lab,Exact Rate Match
Business Affairs,Business Manager,FTE,Hour,NA-CA,145.0,145.0,CAD,OP_Content Lab,Exact Rate Match
Business Affairs,Business Manager,FTE,Hour,EU-CH,150.0,150.0,CHF,OP_Content Lab,Exact Rate Match
Business Affairs,Business Manager,FTE,Hour,APAC-IN,30.0,30.0,USD,OP_Content Lab,Exact Rate Match
Business Affairs,Business Manager,FTE,Hour,APAC-CN-USD,42.0,42.0,USD,OP_Content Lab,Exact Rate Match
Business Affairs,Business Manager,FTE,Hour,LATAM-MX,45.0,45.0,USD,OP_Content Lab,Exact Rate Match
Business Affairs,Business Manager,FTE,Hour,EU-PL,47.5,47.5,USD,OP_Content Lab,Exact Rate Match
Business Affairs,Head of Business Affairs,FTE,Hour,UK-LON,180.0,180.0,GBP,OP_Content Lab,Exact Rate Match
Business Affairs,Head of Business Affairs,FTE,Hour,EU-ES,155.0,155.0,EUR,OP_Content Lab,Exact Rate Match
Business Affairs,Head of Business Affairs,FTE,Hour,EU-FR,200.0,200.0,EUR,OP_Content Lab,Exact Rate Match
Business Affairs,Head of Business Affairs,FTE,Hour,EU-DE,210.0,210.0,EUR,OP_Content Lab,Exact Rate Match
Business Affairs,Head of Business Affairs,FTE,Hour,EU-IT,145.0,145.0,EUR,OP_Content Lab,Exact Rate Match
Business Affairs,Head of Business Affairs,FTE,Hour,LATAM-BR,790.0,790.0,BRL,OP_Content Lab,Exact Rate Match
Business Affairs,Head of Business Affairs,FTE,Hour,APAC-CN,815.0,815.0,CNY,OP_Content Lab,Exact Rate Match
Business Affairs,Head of Business Affairs,FTE,Hour,NA-CA,177.0,177.0,CAD,OP_Content Lab,Exact Rate Match
Business Affairs,Head of Business Affairs,FTE,Hour,EU-CH,210.0,210.0,CHF,OP_Content Lab,Exact Rate Match
Business Affairs,Head of Business Affairs,FTE,Hour,APAC-IN,30.0,30.0,USD,OP_Content Lab,Exact Rate Match
Business Affairs,Head of Business Affairs,FTE,Hour,APAC-CN-USD,42.0,42.0,USD,OP_Content Lab,Exact Rate Match
Business Affairs,Head of Business Affairs,FTE,Hour,LATAM-MX,45.0,45.0,USD,OP_Content Lab,Exact Rate Match
Business Affairs,Head of Business Affairs,FTE,Hour,EU-PL,47.5,47.5,USD,OP_Content Lab,Exact Rate Match
Business Affairs,Senior Business Manager,FTE,Hour,UK-LON,145.0,145.0,GBP,OP_Content Lab,Exact Rate Match
Business Affairs,Senior Business Manager,FTE,Hour,EU-ES,127.0,127.0,EUR,OP_Content Lab,Exact Rate Match
Business Affairs,Senior Business Manager,FTE,Hour,EU-FR,190.0,190.0,EUR,OP_Content Lab,Exact Rate Match
Business Affairs,Senior Business Manager,FTE,Hour,EU-DE,190.0,190.0,EUR,OP_Content Lab,Exact Rate Match
Business Affairs,Senior Business Manager,FTE,Hour,EU-IT,140.0,140.0,EUR,OP_Content Lab,Exact Rate Match
Business Affairs,Senior Business Manager,FTE,Hour,LATAM-BR,675.0,675.0,BRL,OP_Content Lab,Exact Rate Match
Business Affairs,Senior Business Manager,FTE,Hour,APAC-CN,740.0,740.0,CNY,OP_Content Lab,Exact Rate Match
Business Affairs,Senior Business Manager,FTE,Hour,NA-CA,160.0,160.0,CAD,OP_Content Lab,Exact Rate Match
Business Affairs,Senior Business Manager,FTE,Hour,EU-CH,190.0,190.0,CHF,OP_Content Lab,Exact Rate Match
Business Affairs,Senior Business Manager,FTE,Hour,APAC-IN,30.0,30.0,USD,OP_Content Lab,Exact Rate Match
Business Affairs,Senior Business Manager,FTE,Hour,APAC-CN-USD,42.0,42.0,USD,OP_Content Lab,Exact Rate Match
Business Affairs,Senior Business Manager,FTE,Hour,LATAM-MX,45.0,45.0,USD,OP_Content Lab,Exact Rate Match
Business Affairs,Senior Business Manager,FTE,Hour,EU-PL,47.5,47.5,USD,OP_Content Lab,Exact Rate Match
Creative,Animation Artist,FTE,Hour,UK-LON,80.0,80.0,GBP,OP_Content Lab,Exact Rate Match
Creative,Animation Artist,FTE,Hour,EU-ES,80.0,80.0,EUR,OP_Content Lab,Exact Rate Match
Creative,Animation Artist,FTE,Hour,EU-FR,115.0,115.0,EUR,OP_Content Lab,Exact Rate Match
Creative,Animation Artist,FTE,Hour,EU-DE,120.0,120.0,EUR,OP_Content Lab,Exact Rate Match
Creative,Animation Artist,FTE,Hour,EU-IT,100.0,100.0,EUR,OP_Content Lab,Exact Rate Match
Creative,Animation Artist,FTE,Hour,LATAM-BR,420.0,420.0,BRL,OP_Content Lab,Exact Rate Match
Creative,Animation Artist,FTE,Hour,APAC-CN,630.0,630.0,CNY,OP_Content Lab,Exact Rate Match
Creative,Animation Artist,FTE,Hour,NA-CA,118.0,118.0,CAD,OP_Content Lab,Exact Rate Match
Creative,Animation Artist,FTE,Hour,EU-CH,120.0,120.0,CHF,OP_Content Lab,Exact Rate Match
Creative,Animation Artist,FTE,Hour,APAC-IN,30.0,30.0,USD,OP_Content Lab,Exact Rate Match
Creative,Animation Artist,FTE,Hour,APAC-CN-USD,42.0,42.0,USD,OP_Content Lab,Exact Rate Match
Creative,Animation Artist,FTE,Hour,LATAM-MX,45.0,45.0,USD,OP_Content Lab,Exact Rate Match
Creative,Animation Artist,FTE,Hour,EU-PL,47.5,47.5,USD,OP_Content Lab,Exact Rate Match
Creative,Art Director,FTE,Hour,UK-LON,95.0,95.0,GBP,OP_Content Lab,Exact Rate Match
Creative,Art Director,FTE,Hour,EU-ES,100.0,100.0,EUR,OP_Content Lab,Exact Rate Match
Creative,Art Director,FTE,Hour,EU-FR,140.0,140.0,EUR,OP_Content Lab,Exact Rate Match
Creative,Art Director,FTE,Hour,EU-DE,140.0,140.0,EUR,OP_Content Lab,Exact Rate Match
Creative,Art Director,FTE,Hour,EU-IT,120.0,120.0,EUR,OP_Content Lab,Exact Rate Match
Creative,Art Director,FTE,Hour,LATAM-BR,580.0,580.0,BRL,OP_Content Lab,Exact Rate Match
Creative,Art Director,FTE,Hour,APAC-CN,775.0,775.0,CNY,OP_Content Lab,Exact Rate Match
Creative,Art Director,FTE,Hour,NA-CA,122.0,122.0,CAD,OP_Content Lab,Exact Rate Match
Creative,Art Director,FTE,Hour,EU-CH,140.0,140.0,CHF,OP_Content Lab,Exact Rate Match
Creative,Art Director,FTE,Hour,APAC-IN,30.0,30.0,USD,OP_Content Lab,Exact Rate Match
Creative,Art Director,FTE,Hour,APAC-CN-USD,42.0,42.0,USD,OP_Content Lab,Exact Rate Match
Creative,Art Director,FTE,Hour,LATAM-MX,45.0,45.0,USD,OP_Content Lab,Exact Rate Match
Creative,Art Director,FTE,Hour,EU-PL,47.5,47.5,USD,OP_Content Lab,Exact Rate Match
Creative,ACD - Associate Creative Director,FTE,Hour,UK-LON,130.0,130.0,GBP,OP_Content Lab,Exact Rate Match
Creative,ACD - Associate Creative Director,FTE,Hour,EU-ES,120.0,120.0,EUR,OP_Content Lab,Exact Rate Match
Creative,ACD - Associate Creative Director,FTE,Hour,EU-FR,175.0,175.0,EUR,OP_Content Lab,Exact Rate Match
Creative,ACD - Associate Creative Director,FTE,Hour,EU-DE,150.0,150.0,EUR,OP_Content Lab,Exact Rate Match
Creative,ACD - Associate Creative Director,FTE,Hour,EU-IT,127.0,127.0,EUR,OP_Content Lab,Exact Rate Match
Creative,ACD - Associate Creative Director,FTE,Hour,LATAM-BR,640.0,640.0,BRL,OP_Content Lab,Exact Rate Match
Creative,ACD - Associate Creative Director,FTE,Hour,APAC-CN,710.0,710.0,CNY,OP_Content Lab,Exact Rate Match
