48,445,,,,,,,,
Category | Function,Role,Resource type,Unit,Region,Rate_low,Rate_high,Currency,Source,Notes
Account Management,Account Supervisor,FTE,Hour,UK-LON,110,110,GBP,OP_Content Lab,Exact Rate Match
Account Management,Account Supervisor,FTE,Hour,EU-ES,120,120,EUR,OP_Content Lab,Exact Rate Match
Account Management,Account Supervisor,FTE,Hour,EU-FR,175,175,EUR,OP_Content Lab,Exact Rate Match
Account Management,Account Supervisor,FTE,Hour,EU-DE,150,150,EUR,OP_Content Lab,Exact Rate Match
Account Management,Account Supervisor,FTE,Hour,EU-IT,127,127,EUR,OP_Content Lab,Exact Rate Match
Account Management,Account Supervisor,FTE,Hour,LATAM-BR,640,640,BRL,OP_Content Lab,Exact Rate Match
Account Management,Account Supervisor,FTE,Hour,APAC-CN,710,710,CNY,OP_Content Lab,Exact Rate Match
Account Management,Account Supervisor,FTE,Hour,NA-CA,145,145,CAD,OP_Content Lab,Exact Rate Match
Account Management,Account Supervisor,FTE,Hour,EU-CH,150,150,CHF,OP_Content Lab,Exact Rate Match
Account Management,Account Supervisor,FTE,Hour,APAC-IN,30,30,USD,OP_Content Lab,Exact Rate Match
Account Management,Account Supervisor,FTE,Hour,APAC-CN-USD,42,42,USD,OP_Content Lab,Exact Rate Match
Account Management,Account Supervisor,FTE,Hour,LATAM-MX,45,45,USD,OP_Content Lab,Exact Rate Match
Account Management,Account Supervisor,FTE,Hour,EU-PL,47.5,47.5,USD,OP_Content Lab,Exact Rate Match
Account Management,Senior Account Director,FTE,Hour,UK-LON,180,180,GBP,OP_Content Lab,Exact Rate Match
Account Management,Senior Account Director,FTE,Hour,EU-ES,155,155,EUR,OP_Content Lab,Exact Rate Match
Account Management,Senior Account Director,FTE,Hour,EU-FR,200,200,EUR,OP_Content Lab,Exact Rate Match
Account Management,Senior Account Director,FTE,Hour,EU-DE,210,210,EUR,OP_Content Lab,Exact Rate Match
Account Management,Senior Account Director,FTE,Hour,EU-IT,145,145,EUR,OP_Content Lab,Exact Rate Match
Account Management,Senior Account Director,FTE,Hour,LATAM-BR,790,790,BRL,OP_Content Lab,Exact Rate Match
Account Management,Senior Account Director,FTE,Hour,APAC-CN,815,815,CNY,OP_Content Lab,Exact Rate Match
Account Management,Senior Account Director,FTE,Hour,NA-CA,177,177,CAD,OP_Content Lab,Exact Rate Match
Account Management,Senior Account Director,FTE,Hour,EU-CH,210,210,CHF,OP_Content Lab,Exact Rate Match
Account Management,Senior Account Director,FTE,Hour,APAC-IN,30,30,USD,OP_Content Lab,Exact Rate Match
Account Management,Senior Account Director,FTE,Hour,APAC-CN-USD,42,42,USD,OP_Content Lab,Exact Rate Match
Account Management,Senior Account Director,FTE,Hour,LATAM-MX,45,45,USD,OP_Content Lab,Exact Rate Match
Account Management,Senior Account Director,FTE,Hour,EU-PL,47.5,47.5,USD,OP_Content Lab,Exact Rate Match
Account Management,Assistant Account Executive,FTE,Hour,UK-LON,75,75,GBP,OP_Content Lab,Exact Rate Match
Account Management,Assistant Account Executive,FTE,Hour,EU-ES,75,75,EUR,OP_Content Lab,Exact Rate Match
Account Management,Assistant Account Executive,FTE,Hour,EU-FR,100,100,EUR,OP_Content Lab,Exact Rate Match
Account Management,Assistant Account Executive,FTE,Hour,EU-DE,95,95,EUR,OP_Content Lab,Exact Rate Match
Account Management,Assistant Account Executive,FTE,Hour,EU-IT,90,90,EUR,OP_Content Lab,Exact Rate Match
Account Management,Assistant Account Executive,FTE,Hour,LATAM-BR,375,375,BRL,OP_Content Lab,Exact Rate Match
Account Management,Assistant Account Executive,FTE,Hour,APAC-CN,510,510,CNY,OP_Content Lab,Exact Rate Match
Account Management,Assistant Account Executive,FTE,Hour,NA-CA,95,95,CAD,OP_Content Lab,Exact Rate Match
Account Management,Assistant Account Executive,FTE,Hour,EU-CH,95,95,CHF,OP_Content Lab,Exact Rate Match
Account Management,Assistant Account Executive,FTE,Hour,APAC-IN,30,30,USD,OP_Content Lab,Exact Rate Match
Account Management,Assistant Account Executive,FTE,Hour,APAC-CN-USD,42,42,USD,OP_Content Lab,Exact Rate Match
Account Management,Assistant Account Executive,FTE,Hour,LATAM-MX,45,45,USD,OP_Content Lab,Exact Rate Match
Account Management,Assistant Account Executive,FTE,Hour,EU-PL,47.5,47.5,USD,OP_Content Lab,Exact Rate Match
Account Management,Global Account Head,FTE,Hour,UK-LON,300,300,GBP,OP_Content Lab,Exact Rate Match
Account Management,Global Account Head,FTE,Hour,EU-ES,250,250,EUR,OP_Content Lab,Exact Rate Match
Account Management,Global Account Head,FTE,Hour,EU-FR,315,315,EUR,OP_Content Lab,Exact Rate Match
Account Management,Global Account Head,FTE,Hour,EU-DE,300,300,EUR,OP_Content Lab,Exact Rate Match
Account Management,Global Account Head,FTE,Hour,EU-IT,225,225,EUR,OP_Content Lab,Exact Rate Match
Account Management,Global Account Head,FTE,Hour,LATAM-BR,1500,1500,BRL,OP_Content Lab,Exact Rate Match
Account Management,Global Account Head,FTE,Hour,APAC-CN,3100,3100,CNY,OP_Content Lab,Exact Rate Match
Account Management,Global Account Head,FTE,Hour,NA-CA,300,300,CAD,OP_Content Lab,Exact Rate Match
Account Management,Global Account Head,FTE,Hour,EU-CH,300,300,CHF,OP_Content Lab,Exact Rate Match
Account Management,Global Account Head,FTE,Hour,APAC-IN,30,30,USD,OP_Content Lab,Exact Rate Match
Account Management,Global Account Head,FTE,Hour,APAC-CN-USD,42,42,USD,OP_Content Lab,Exact Rate Match
Account Management,Global Account Head,FTE,Hour,LATAM-MX,45,45,USD,OP_Content Lab,Exact Rate Match
Account Management,Global Account Head,FTE,Hour,EU-PL,47.5,47.5,USD,OP_Content Lab,Exact Rate Match
Account Management,Senior Account Manager,FTE,Hour,UK-LON,110,110,GBP,OP_Content Lab,Exact Rate Match
Account Management,Senior Account Manager,FTE,Hour,EU-ES,120,120,EUR,OP_Content Lab,Exact Rate Match
Account Management,Senior Account Manager,FTE,Hour,EU-FR,175,175,EUR,OP_Content Lab,Exact Rate Match
Account Management,Senior Account Manager,FTE,Hour,EU-DE,150,150,EUR,OP_Content Lab,Exact Rate Match
Account Management,Senior Account Manager,FTE,Hour,EU-IT,127,127,EUR,OP_Content Lab,Exact Rate Match
Account Management,Senior Account Manager,FTE,Hour,LATAM-BR,640,640,BRL,OP_Content Lab,Exact Rate Match
Account Management,Senior Account Manager,FTE,Hour,APAC-CN,710,710,CNY,OP_Content Lab,Exact Rate Match
Account Management,Senior Account Manager,FTE,Hour,NA-CA,145,145,CAD,OP_Content Lab,Exact Rate Match
Account Management,Senior Account Manager,FTE,Hour,EU-CH,150,150,CHF,OP_Content Lab,Exact Rate Match
Account Management,Senior Account Manager,FTE,Hour,APAC-IN,30,30,USD,OP_Content Lab,Exact Rate Match
Account Management,Senior Account Manager,FTE,Hour,APAC-CN-USD,42,42,USD,OP_Content Lab,Exact Rate Match
Account Management,Senior Account Manager,FTE,Hour,LATAM-MX,45,45,USD,OP_Content Lab,Exact Rate Match
Account Management,Senior Account Manager,FTE,Hour,EU-PL,47.5,47.5,USD,OP_Content Lab,Exact Rate Match
Account Management,Group Account Director,FTE,Hour,UK-LON,220,220,GBP,OP_Content Lab,Exact Rate Match
Account Management,Group Account Director,FTE,Hour,EU-ES,165,165,EUR,OP_Content Lab,Exact Rate Match
Account Management,Group Account Director,FTE,Hour,EU-FR,220,220,EUR,OP_Content Lab,Exact Rate Match
Account Management,Group Account Director,FTE,Hour,EU-DE,225,225,EUR,OP_Content Lab,Exact Rate Match
Account Management,Group Account Director,FTE,Hour,EU-IT,175,175,EUR,OP_Content Lab,Exact Rate Match
Account Management,Group Account Director,FTE,Hour,LATAM-BR,875,875,BRL,OP_Content Lab,Exact Rate Match
Account Management,Group Account Director,FTE,Hour,APAC-CN,1325,1325,CNY,OP_Content Lab,Exact Rate Match
Account Management,Group Account Director,FTE,Hour,NA-CA,195,195,CAD,OP_Content Lab,Exact Rate Match
Account Management,Group Account Director,FTE,Hour,EU-CH,225,225,CHF,OP_Content Lab,Exact Rate Match
Account Management,Group Account Director,FTE,Hour,APAC-IN,30,30,USD,OP_Content Lab,Exact Rate Match
Account Management,Group Account Director,FTE,Hour,APAC-CN-USD,42,42,USD,OP_Content Lab,Exact Rate Match
Account Management,Group Account Director,FTE,Hour,LATAM-MX,45,45,USD,OP_Content Lab,Exact Rate Match
Account Management,Group Account Director,FTE,Hour,EU-PL,47.5,47.5,USD,OP_Content Lab,Exact Rate Match
Account Management,Head of Account Management,FTE,Hour,UK-LON,275,275,GBP,OP_Content Lab,Exact Rate Match
Account Management,Head of Account Management,FTE,Hour,EU-ES,195,195,EUR,OP_Content Lab,Exact Rate Match
Account Management,Head of Account Management,FTE,Hour,EU-FR,250,250,EUR,OP_Content Lab,Exact Rate Match
Account Management,Head of Account Management,FTE,Hour,EU-DE,250,250,EUR,OP_Content Lab,Exact Rate Match
Account Management,Head of Account Management,FTE,Hour,EU-IT,180,180,EUR,OP_Content Lab,Exact Rate Match
Account Management,Head of Account Management,FTE,Hour,LATAM-BR,950,950,BRL,OP_Content Lab,Exact Rate Match
Account Management,Head of Account Management,FTE,Hour,APAC-CN,1824,1824,CNY,OP_Content Lab,Exact Rate Match
Account Management,Head of Account Management,FTE,Hour,NA-CA,220,220,CAD,OP_Content Lab,Exact Rate Match
Account Management,Head of Account Management,FTE,Hour,EU-CH,250,250,CHF,OP_Content Lab,Exact Rate Match
Account Management,Head of Account Management,FTE,Hour,APAC-IN,30,30,USD,OP_Content Lab,Exact Rate Match
Account Management,Head of Account Management,FTE,Hour,APAC-CN-USD,42,42,USD,OP_Content Lab,Exact Rate Match
Account Management,Head of Account Management,FTE,Hour,LATAM-MX,45,45,USD,OP_Content Lab,Exact Rate Match
Account Management,Head of Account Management,FTE,Hour,EU-PL,47.5,47.5,USD,OP_Content Lab,Exact Rate Match
Account Management,Head of Digital,FTE,Hour,UK-LON,200,200,GBP,OP_Content Lab,Exact Rate Match
Account Management,Head of Digital,FTE,Hour,EU-ES,165,165,EUR,OP_Content Lab,Exact Rate Match
Account Management,Head of Digital,FTE,Hour,EU-FR,220,220,EUR,OP_Content Lab,Exact Rate Match
Account Management,Head of Digital,FTE,Hour,EU-DE,225,225,EUR,OP_Content Lab,Exact Rate Match
Account Management,Head of Digital,FTE,Hour,EU-IT,175,175,EUR,OP_Content Lab,Exact Rate Match
Account Management,Head of Digital,FTE,Hour,LATAM-BR,875,875,BRL,OP_Content Lab,Exact Rate Match
Account Management,Head of Digital,FTE,Hour,APAC-CN,1325,1325,CNY,OP_Content Lab,Exact Rate Match
Account Management,Head of Digital,FTE,Hour,NA-CA,195,195,CAD,OP_Content Lab,Exact Rate Match
Account Management,Account Manager (Regional),FTE,Hour,UK-LON,90,90,GBP,OP_JH consolidated ratecard,
Account Management,Account Manager (Regional),FTE,Hour,EU-PL,56,56,EUR,OP_JH consolidated ratecard,
Account Management,Project Manager,FTE,Hour,UK-LON,55,55,GBP,OP_JH consolidated ratecard,
Account Management,Project Manager,FTE,Hour,EU-ES,48,56,EUR,OP_JH consolidated ratecard,
Account Management,Project Manager,FTE,Hour,EU-FR,48,58,EUR,OP_JH consolidated ratecard,
Account Management,Project Manager,FTE,Hour,EU-DE,48,58,EUR,OP_JH consolidated ratecard,
Account Management,Project Manager,FTE,Hour,EU-IT,48,56,EUR,OP_JH consolidated ratecard,
Account Management,Project Manager,FTE,Hour,EU-PL,36,44,EUR,OP_JH consolidated ratecard,
Account Management,Senior Project Manager,FTE,Hour,UK-LON,64,64,GBP,OP_JH consolidated ratecard,
Account Management,Senior Project Manager,FTE,Hour,EU-ES,61,70,EUR,OP_JH consolidated ratecard,
Account Management,Senior Project Manager,FTE,Hour,EU-FR,61,73,EUR,OP_JH consolidated ratecard,
Account Management,Senior Project Manager,FTE,Hour,EU-DE,61,73,EUR,OP_JH consolidated ratecard,
Account Management,Senior Project Manager,FTE,Hour,EU-IT,61,70,EUR,OP_JH consolidated ratecard,
Account Management,Senior Project Manager,FTE,Hour,EU-PL,46,55,EUR,OP_JH consolidated ratecard,
Account Management,Head of Digital,FTE,Hour,EU-CH,225,225,CHF,OP_Content Lab,Exact Rate Match
Account Management,Head of Digital,FTE,Hour,APAC-IN,30,30,USD,OP_Content Lab,Exact Rate Match
Account Management,Head of Digital,FTE,Hour,APAC-CN-USD,42.00,42.00,USD,OP_Content Lab,Exact Rate Match
Account Management,Head of Digital,FTE,Hour,LATAM-MX,45.00,45.00,USD,OP_Content Lab,Exact Rate Match
Account Management,Head of Digital,FTE,Hour,EU-PL,47.50,47.50,USD,OP_Content Lab,Exact Rate Match
Art Dept / Set Construction Crew,Production Designer,Agency,Day,US-CHI,"1,200.00","1,400.00",USD,EG_APR_JH ratecard,
Art Dept / Set Construction Crew,Art Director,Agency,Day,US-CHI,"1,200.00","1,400.00",USD,EG_APR_JH ratecard,
Art Dept / Set Construction Crew,Assistant Art Director,Agency,Day,US-CHI,900.00,"1,100.00",USD,EG_APR_JH ratecard,
Art Dept / Set Construction Crew,Set Designer,Agency,Day,US-CHI,"1,200.00","1,400.00",USD,EG_APR_JH ratecard,
Art Dept / Set Construction Crew,Leadman / Crew Manager,Agency,Day,US-CHI,600.00,700.00,USD,EG_APR_JH ratecard,
Art Dept / Set Construction Crew,Lead Set Dresser,Agency,Day,US-CHI,700.00,850.00,USD,EG_APR_JH ratecard,
Art Dept / Set Construction Crew,Set Dresser,Agency,Day,US-CHI,600.00,650.00,USD,EG_APR_JH ratecard,
Art Dept / Set Construction Crew,Set Decorator,Agency,Day,US-CHI,850.00,950.00,USD,EG_APR_JH ratecard,
Art Dept / Set Construction Crew,Assistant Set Director,Agency,Day,US-CHI,550.00,600.00,USD,EG_APR_JH ratecard,
Art Dept / Set Construction Crew,Lead Scenic Artist,Agency,Day,US-CHI,850.00,850.00,USD,EG_APR_JH ratecard,
Art Dept / Set Construction Crew,Prop Master,Agency,Day,US-CHI,700.00,750.00,USD,EG_APR_JH ratecard,
Art Dept / Set Construction Crew,"Prop Assistant, 2nd Prop",Agency,Day,US-CHI,600.00,650.00,USD,EG_APR_JH ratecard,
Art Dept / Set Construction Crew,Teamsters / Drivers,Agency,Day,US-CHI,575.00,700.00,USD,EG_APR_JH ratecard,
Art Dept / Set Construction Crew,Strike Crew,Agency,Day,US-CHI,575.00,625.00,USD,EG_APR_JH ratecard,
Art Dept / Set Construction Crew,Art Coordinator,Agency,Day,US-CHI,650.00,700.00,USD,EG_APR_JH ratecard,
Art Dept / Set Construction Crew,Production Assistants (P.A.'s) (Art PA),Agency,Day,US-CHI,300.00,350.00,USD,EG_APR_JH ratecard,
Art Dept / Set Construction Crew,Construction Coordinator,Agency,Day,US-CHI,830.00,830.00,USD,EG_APR_JH ratecard,
Art Dept / Set Construction Crew,SPFX Foreperson,Agency,Day,US-CHI,600.00,700.00,USD,EG_APR_JH ratecard,
Art Dept / Set Construction Crew,Lead Effects,Agency,Day,US-CHI,700.00,800.00,USD,EG_APR_JH ratecard,
Art Dept / Set Construction Crew,Production Designer,Agency,Day,US-LA,"1,400.00","1,500.00",USD,EG_APR_JH ratecard,
Art Dept / Set Construction Crew,Art Director,Agency,Day,US-LA,"1,100.00","1,200.00",USD,EG_APR_JH ratecard,
Art Dept / Set Construction Crew,Assistant Art Director,Agency,Day,US-LA,947.00,947.00,USD,EG_APR_JH ratecard,
Art Dept / Set Construction Crew,Set Designer,Agency,Day,US-LA,"1,400.00","1,500.00",USD,EG_APR_JH ratecard,
Art Dept / Set Construction Crew,Leadman / Crew Manager,Agency,Day,US-LA,650.00,800.00,USD,EG_APR_JH ratecard,
Art Dept / Set Construction Crew,Lead Set Dresser,Agency,Day,US-LA,700.00,850.00,USD,EG_APR_JH ratecard,"No LA rates captured, using CHI instead"
Art Dept / Set Construction Crew,Set Dresser,Agency,Day,US-LA,612.00,650.00,USD,EG_APR_JH ratecard,
Art Dept / Set Construction Crew,Set Decorator,Agency,Day,US-LA,916.00,950.00,USD,EG_APR_JH ratecard,
Art Dept / Set Construction Crew,Assistant Set Director,Agency,Day,US-LA,650.00,700.00,USD,EG_APR_JH ratecard,
Art Dept / Set Construction Crew,Lead Scenic Artist,Agency,Day,US-LA,907.00,907.00,USD,EG_APR_JH ratecard,
Art Dept / Set Construction Crew,Prop Master,Agency,Day,US-LA,750.00,800.00,USD,EG_APR_JH ratecard,
Art Dept / Set Construction Crew,"Prop Assistant, 2nd Prop",Agency,Day,US-LA,612.00,650.00,USD,EG_APR_JH ratecard,
Art Dept / Set Construction Crew,Teamsters / Drivers,Agency,Day,US-LA,598.00,600.00,USD,EG_APR_JH ratecard,
Art Dept / Set Construction Crew,Strike Crew,Agency,Day,US-LA,650.00,700.00,USD,EG_APR_JH ratecard,
Art Dept / Set Construction Crew,Art Coordinator,Agency,Day,US-LA,650.00,750.00,USD,EG_APR_JH ratecard,
Art Dept / Set Construction Crew,Production Assistants (P.A.'s) (Art PA),Agency,Day,US-LA,250.00,300.00,USD,EG_APR_JH ratecard,
Art Dept / Set Construction Crew,Construction Coordinator,Agency,Day,US-LA,890.00,890.00,USD,EG_APR_JH ratecard,
Art Dept / Set Construction Crew,SPFX Foreperson,Agency,Day,US-LA,600.00,700.00,USD,EG_APR_JH ratecard,
Art Dept / Set Construction Crew,Lead Effects,Agency,Day,US-LA,750.00,750.00,USD,EG_APR_JH ratecard,
Art Dept / Set Construction Crew,Production Designer,Agency,Day,US-NY,"1,600.00","2,000.00",USD,EG_APR_JH ratecard,
Art Dept / Set Construction Crew,Art Director,Agency,Day,US-NY,"1,600.00","2,000.00",USD,EG_APR_JH ratecard,
Art Dept / Set Construction Crew,Assistant Art Director,Agency,Day,US-NY,900.00,900.00,USD,EG_APR_JH ratecard,
Art Dept / Set Construction Crew,Set Designer,Agency,Day,US-NY,"1,200.00","1,400.00",USD,EG_APR_JH ratecard,Using CHI rate as NYC no data
Art Dept / Set Construction Crew,Leadman / Crew Manager,Agency,Day,US-NY,600.00,775.00,USD,EG_APR_JH ratecard,
Art Dept / Set Construction Crew,Lead Set Dresser,Agency,Day,US-NY,725.00,850.00,USD,EG_APR_JH ratecard,
Art Dept / Set Construction Crew,Set Dresser,Agency,Day,US-NY,725.00,850.00,USD,EG_APR_JH ratecard,
Art Dept / Set Construction Crew,Set Decorator,Agency,Day,US-NY,750.00,950.00,USD,EG_APR_JH ratecard,
Art Dept / Set Construction Crew,Assistant Set Director,Agency,Day,US-NY,600.00,775.00,USD,EG_APR_JH ratecard,
Art Dept / Set Construction Crew,Lead Scenic Artist,Agency,Day,US-NY,780.00,835.00,USD,EG_APR_JH ratecard,
Art Dept / Set Construction Crew,Prop Master,Agency,Day,US-NY,800.00,850.00,USD,EG_APR_JH ratecard,
Art Dept / Set Construction Crew,"Prop Assistant, 2nd Prop",Agency,Day,US-NY,700.00,785.00,USD,EG_APR_JH ratecard,
Art Dept / Set Construction Crew,Teamsters / Drivers,Agency,Day,US-NY,600.00,650.00,USD,EG_APR_JH ratecard,
Art Dept / Set Construction Crew,Strike Crew,Agency,Day,US-NY,650.00,725.00,USD,EG_APR_JH ratecard,
Art Dept / Set Construction Crew,Art Coordinator,Agency,Day,US-NY,750.00,800.00,USD,EG_APR_JH ratecard,
Art Dept / Set Construction Crew,Production Assistants (P.A.'s) (Art PA),Agency,Day,US-NY,250.00,300.00,USD,EG_APR_JH ratecard,
Art Dept / Set Construction Crew,Construction Coordinator,Agency,Day,US-NY,775.00,875.00,USD,EG_APR_JH ratecard,
Art Dept / Set Construction Crew,SPFX Foreperson,Agency,Day,US-NY,625.00,650.00,USD,EG_APR_JH ratecard,
Art Dept / Set Construction Crew,Lead Effects,Agency,Day,US-NY,750.00,823.00,USD,EG_APR_JH ratecard,
Asset Management,Data Management Associate (US - Contract),Contractor,Day,US-CHI,596,596,USD,EG_JH Resource Calc,
Asset Management,Data Management Associate (US - Contract),Contractor,Day,US-LA,652,652,USD,EG_JH Resource Calc,
Asset Management,Data Management Associate (US - Contract),Contractor,Day,US-NY,665.6,665.6,USD,EG_JH Resource Calc,
Asset Management,Data Management Associate (US - Contract),Contractor,Day,UK-LON,596.4,596.4,GBP,EG_JH Resource Calc,
Brand Design,Brand Designer,FTE,Day,UK-LON,377.36,436.69,GBP,EG_JH Resource Calc,
Brand Design,Creative Specialist (UK - Contract),Contractor,Day,UK-LON,587.5,587.5,GBP,EG_JH Resource Calc,
Brand Design,Designer I - Non IT (UK - Contract),Contractor,Day,UK-LON,412.68,412.68,GBP,EG_JH Resource Calc,
Brand Design,Designer II- Non IT (UK - Contract),Contractor,Day,UK-LON,475,501.73,GBP,EG_JH Resource Calc,
Brand Design,Graphic Designer III (UK - Contract),Contractor,Day,UK-LON,617.5,617.5,GBP,EG_JH Resource Calc,
Brand Design,Junior Brand Designer,FTE,Day,UK-LON,377.36,436.69,GBP,EG_JH Resource Calc,
Brand Design,Junior Digital Designer,FTE,Day,UK-LON,377.36,436.69,GBP,EG_JH Resource Calc,
Brand Design,UX - Designer,FTE,Day,UK-LON,377.36,436.69,GBP,EG_JH Resource Calc,
Brand Design,Digital Designer,FTE,Day,UK-LON,540.53,540.53,GBP,EG_JH Resource Calc,
Brand Design,Motion Designer,FTE,Day,UK-LON,540.53,540.53,GBP,EG_JH Resource Calc,
Brand Design,Senior Brand Designer,FTE,Day,UK-LON,540.53,540.53,GBP,EG_JH Resource Calc,
Brand Design,Senior Designer,FTE,Day,UK-LON,540.53,540.53,GBP,EG_JH Resource Calc,
Brand Design,Senior Digital Designer,FTE,Day,UK-LON,540.53,540.53,GBP,EG_JH Resource Calc,
Brand Design,Senior Motion Designer,FTE,Day,UK-LON,540.53,540.53,GBP,EG_JH Resource Calc,
Brand Design,UX - Senior Designer,FTE,Day,UK-LON,540.53,540.53,GBP,EG_JH Resource Calc,
Brand Design,ACD - Design,FTE,Day,UK-LON,727.82,727.82,GBP,EG_JH Resource Calc,
Brand Design,UX - Senior Manager,FTE,Day,UK-LON,727.82,727.82,GBP,EG_JH Resource Calc,
Brand Design,CD - Brand Design,FTE,Day,UK-LON,972.38,972.38,GBP,EG_JH Resource Calc,
Brand Design,CD - Digital Design,FTE,Day,UK-LON,972.38,972.38,GBP,EG_JH Resource Calc,
