Category | Function,Role,Resource type,Unit,Region,Rate_low,Rate_high,Currency,Source,Notes,Estimated_Cost,Band,Anomaly_Flag
Account Management,Account Manager,FTE,Hour,EU-IT,120.0,120.0,EUR,OP_Content Lab,Exact Rate Match,51.06,M,
Account Management,Account Manager,FTE,Hour,LATAM-BR,580.0,580.0,BRL,OP_Content Lab,Exact Rate Match,246.81,O,
Account Management,Account Manager,FTE,Hour,APAC-CN,775.0,775.0,CNY,OP_Content Lab,Exact Rate Match,329.79,O,
Account Management,Account Manager,FTE,Hour,NA-CA,122.0,122.0,CAD,OP_Content Lab,Exact Rate Match,51.91,M,
Account Management,Account Manager,FTE,Hour,EU-CH,140.0,140.0,CHF,OP_Content Lab,Exact Rate Match,59.57,M,
Account Management,Account Manager,FTE,Hour,APAC-IN,30.0,30.0,USD,OP_Content Lab,Exact Rate Match,12.77,J,
Account Management,Account Manager,FTE,Hour,APAC-CN-USD,42.0,42.0,USD,OP_Content Lab,Exact Rate Match,17.87,J,
Account Management,Account Manager,FTE,Hour,LATAM-MX,45.0,45.0,USD,OP_Content Lab,Exact Rate Match,19.15,J,
Account Management,Account Manager,FTE,Hour,EU-PL,47.5,47.5,USD,OP_Content Lab,Exact Rate Match,20.21,J,
Account Management,Account Supervisor,FTE,Hour,UK-LON,110.0,110.0,GBP,OP_Content Lab,Exact Rate Match,46.81,M,
Account Management,Account Supervisor,FTE,Hour,EU-ES,120.0,120.0,EUR,OP_Content Lab,Exact Rate Match,51.06,M,
Account Management,Account Supervisor,FTE,Hour,EU-FR,175.0,175.0,EUR,OP_Content Lab,Exact Rate Match,74.47,N,
Account Management,Account Supervisor,FTE,Hour,EU-DE,150.0,150.0,EUR,OP_Content Lab,Exact Rate Match,63.83,N,
Account Management,Account Supervisor,FTE,Hour,EU-IT,127.0,127.0,EUR,OP_Content Lab,Exact Rate Match,54.04,M,
Account Management,Account Supervisor,FTE,Hour,LATAM-BR,640.0,640.0,BRL,OP_Content Lab,Exact Rate Match,272.34,O,
Account Management,Account Supervisor,FTE,Hour,APAC-CN,710.0,710.0,CNY,OP_Content Lab,Exact Rate Match,302.13,O,
Account Management,Account Supervisor,FTE,Hour,NA-CA,145.0,145.0,CAD,OP_Content Lab,Exact Rate Match,61.7,N,
Account Management,Account Supervisor,FTE,Hour,EU-CH,150.0,150.0,CHF,OP_Content Lab,Exact Rate Match,63.83,N,
Account Management,Account Supervisor,FTE,Hour,APAC-IN,30.0,30.0,USD,OP_Content Lab,Exact Rate Match,12.77,J,
Account Management,Account Supervisor,FTE,Hour,APAC-CN-USD,42.0,42.0,USD,OP_Content Lab,Exact Rate Match,17.87,J,
Account Management,Account Supervisor,FTE,Hour,LATAM-MX,45.0,45.0,USD,OP_Content Lab,Exact Rate Match,19.15,J,
Account Management,Account Supervisor,FTE,Hour,EU-PL,47.5,47.5,USD,OP_Content Lab,Exact Rate Match,20.21,J,
Account Management,Senior Account Director,FTE,Hour,UK-LON,180.0,180.0,GBP,OP_Content Lab,Exact Rate Match,76.6,N,
Account Management,Senior Account Director,FTE,Hour,EU-ES,155.0,155.0,EUR,OP_Content Lab,Exact Rate Match,65.96,N,
Account Management,Senior Account Director,FTE,Hour,EU-FR,200.0,200.0,EUR,OP_Content Lab,Exact Rate Match,85.11,N,
Account Management,Senior Account Director,FTE,Hour,EU-DE,210.0,210.0,EUR,OP_Content Lab,Exact Rate Match,89.36,O,
Account Management,Senior Account Director,FTE,Hour,EU-IT,145.0,145.0,EUR,OP_Content Lab,Exact Rate Match,61.7,N,
Account Management,Senior Account Director,FTE,Hour,LATAM-BR,790.0,790.0,BRL,OP_Content Lab,Exact Rate Match,336.17,O,
Account Management,Senior Account Director,FTE,Hour,APAC-CN,815.0,815.0,CNY,OP_Content Lab,Exact Rate Match,346.81,O,
Account Management,Senior Account Director,FTE,Hour,NA-CA,177.0,177.0,CAD,OP_Content Lab,Exact Rate Match,75.32,N,
Account Management,Senior Account Director,FTE,Hour,EU-CH,210.0,210.0,CHF,OP_Content Lab,Exact Rate Match,89.36,O,
Account Management,Senior Account Director,FTE,Hour,APAC-IN,30.0,30.0,USD,OP_Content Lab,Exact Rate Match,12.77,J,
Account Management,Senior Account Director,FTE,Hour,APAC-CN-USD,42.0,42.0,USD,OP_Content Lab,Exact Rate Match,17.87,J,
Account Management,Senior Account Director,FTE,Hour,LATAM-MX,45.0,45.0,USD,OP_Content Lab,Exact Rate Match,19.15,J,
Account Management,Senior Account Director,FTE,Hour,EU-PL,47.5,47.5,USD,OP_Content Lab,Exact Rate Match,20.21,J,
Account Management,Assistant Account Executive,FTE,Hour,UK-LON,75.0,75.0,GBP,OP_Content Lab,Exact Rate Match,31.91,K,
Account Management,Assistant Account Executive,FTE,Hour,EU-ES,75.0,75.0,EUR,OP_Content Lab,Exact Rate Match,31.91,K,
Account Management,Assistant Account Executive,FTE,Hour,EU-FR,100.0,100.0,EUR,OP_Content Lab,Exact Rate Match,42.55,L,
Account Management,Assistant Account Executive,FTE,Hour,EU-DE,95.0,95.0,EUR,OP_Content Lab,Exact Rate Match,40.43,L,
Account Management,Assistant Account Executive,FTE,Hour,EU-IT,90.0,90.0,EUR,OP_Content Lab,Exact Rate Match,38.3,L,
Account Management,Assistant Account Executive,FTE,Hour,LATAM-BR,375.0,375.0,BRL,OP_Content Lab,Exact Rate Match,159.57,O,
Account Management,Assistant Account Executive,FTE,Hour,APAC-CN,510.0,510.0,CNY,OP_Content Lab,Exact Rate Match,217.02,O,
Account Management,Assistant Account Executive,FTE,Hour,NA-CA,95.0,95.0,CAD,OP_Content Lab,Exact Rate Match,40.43,L,
Account Management,Assistant Account Executive,FTE,Hour,EU-CH,95.0,95.0,CHF,OP_Content Lab,Exact Rate Match,40.43,L,
Account Management,Assistant Account Executive,FTE,Hour,APAC-IN,30.0,30.0,USD,OP_Content Lab,Exact Rate Match,12.77,J,
Account Management,Assistant Account Executive,FTE,Hour,APAC-CN-USD,42.0,42.0,USD,OP_Content Lab,Exact Rate Match,17.87,J,
Account Management,Assistant Account Executive,FTE,Hour,LATAM-MX,45.0,45.0,USD,OP_Content Lab,Exact Rate Match,19.15,J,
Account Management,Assistant Account Executive,FTE,Hour,EU-PL,47.5,47.5,USD,OP_Content Lab,Exact Rate Match,20.21,J,
Account Management,Global Account Head,FTE,Hour,UK-LON,300.0,300.0,GBP,OP_Content Lab,Exact Rate Match,127.66,O,
Account Management,Global Account Head,FTE,Hour,EU-ES,250.0,250.0,EUR,OP_Content Lab,Exact Rate Match,106.38,O,
Account Management,Global Account Head,FTE,Hour,EU-FR,315.0,315.0,EUR,OP_Content Lab,Exact Rate Match,134.04,O,
Account Management,Global Account Head,FTE,Hour,EU-DE,300.0,300.0,EUR,OP_Content Lab,Exact Rate Match,127.66,O,
Account Management,Global Account Head,FTE,Hour,EU-IT,225.0,225.0,EUR,OP_Content Lab,Exact Rate Match,95.74,O,
Account Management,Global Account Head,FTE,Hour,LATAM-BR,1500.0,1500.0,BRL,OP_Content Lab,Exact Rate Match,638.3,O,
Account Management,Global Account Head,FTE,Hour,APAC-CN,3100.0,3100.0,CNY,OP_Content Lab,Exact Rate Match,1319.15,O,
Account Management,Global Account Head,FTE,Hour,NA-CA,300.0,300.0,CAD,OP_Content Lab,Exact Rate Match,127.66,O,
Account Management,Global Account Head,FTE,Hour,EU-CH,300.0,300.0,CHF,OP_Content Lab,Exact Rate Match,127.66,O,
Account Management,Global Account Head,FTE,Hour,APAC-IN,30.0,30.0,USD,OP_Content Lab,Exact Rate Match,12.77,J,
Account Management,Global Account Head,FTE,Hour,APAC-CN-USD,42.0,42.0,USD,OP_Content Lab,Exact Rate Match,17.87,J,
Account Management,Global Account Head,FTE,Hour,LATAM-MX,45.0,45.0,USD,OP_Content Lab,Exact Rate Match,19.15,J,
Account Management,Global Account Head,FTE,Hour,EU-PL,47.5,47.5,USD,OP_Content Lab,Exact Rate Match,20.21,J,
Account Management,Senior Account Manager,FTE,Hour,UK-LON,110.0,110.0,GBP,OP_Content Lab,Exact Rate Match,46.81,M,
Account Management,Senior Account Manager,FTE,Hour,EU-ES,120.0,120.0,EUR,OP_Content Lab,Exact Rate Match,51.06,M,
Account Management,Senior Account Manager,FTE,Hour,EU-FR,175.0,175.0,EUR,OP_Content Lab,Exact Rate Match,74.47,N,
Account Management,Senior Account Manager,FTE,Hour,EU-DE,150.0,150.0,EUR,OP_Content Lab,Exact Rate Match,63.83,N,
Account Management,Senior Account Manager,FTE,Hour,EU-IT,127.0,127.0,EUR,OP_Content Lab,Exact Rate Match,54.04,M,
Account Management,Senior Account Manager,FTE,Hour,LATAM-BR,640.0,640.0,BRL,OP_Content Lab,Exact Rate Match,272.34,O,
Account Management,Senior Account Manager,FTE,Hour,APAC-CN,710.0,710.0,CNY,OP_Content Lab,Exact Rate Match,302.13,O,
Account Management,Senior Account Manager,FTE,Hour,NA-CA,145.0,145.0,CAD,OP_Content Lab,Exact Rate Match,61.7,N,
Account Management,Senior Account Manager,FTE,Hour,EU-CH,150.0,150.0,CHF,OP_Content Lab,Exact Rate Match,63.83,N,
Account Management,Senior Account Manager,FTE,Hour,APAC-IN,30.0,30.0,USD,OP_Content Lab,Exact Rate Match,12.77,J,
Account Management,Senior Account Manager,FTE,Hour,APAC-CN-USD,42.0,42.0,USD,OP_Content Lab,Exact Rate Match,17.87,J,
Account Management,Senior Account Manager,FTE,Hour,LATAM-MX,45.0,45.0,USD,OP_Content Lab,Exact Rate Match,19.15,J,
Account Management,Senior Account Manager,FTE,Hour,EU-PL,47.5,47.5,USD,OP_Content Lab,Exact Rate Match,20.21,J,
Account Management,Group Account Director,FTE,Hour,UK-LON,220.0,220.0,GBP,OP_Content Lab,Exact Rate Match,93.62,O,
Account Management,Group Account Director,FTE,Hour,EU-ES,165.0,165.0,EUR,OP_Content Lab,Exact Rate Match,70.21,N,
Account Management,Group Account Director,FTE,Hour,EU-FR,220.0,220.0,EUR,OP_Content Lab,Exact Rate Match,93.62,O,
Account Management,Group Account Director,FTE,Hour,EU-DE,225.0,225.0,EUR,OP_Content Lab,Exact Rate Match,95.74,O,
Account Management,Group Account Director,FTE,Hour,EU-IT,175.0,175.0,EUR,OP_Content Lab,Exact Rate Match,74.47,N,
Account Management,Group Account Director,FTE,Hour,LATAM-BR,875.0,875.0,BRL,OP_Content Lab,Exact Rate Match,372.34,O,
Account Management,Group Account Director,FTE,Hour,APAC-CN,1325.0,1325.0,CNY,OP_Content Lab,Exact Rate Match,563.83,O,
Account Management,Group Account Director,FTE,Hour,NA-CA,195.0,195.0,CAD,OP_Content Lab,Exact Rate Match,82.98,N,
Account Management,Group Account Director,FTE,Hour,EU-CH,225.0,225.0,CHF,OP_Content Lab,Exact Rate Match,95.74,O,
Account Management,Group Account Director,FTE,Hour,APAC-IN,30.0,30.0,USD,OP_Content Lab,Exact Rate Match,12.77,J,
Account Management,Group Account Director,FTE,Hour,APAC-CN-USD,42.0,42.0,USD,OP_Content Lab,Exact Rate Match,17.87,J,
Account Management,Group Account Director,FTE,Hour,LATAM-MX,45.0,45.0,USD,OP_Content Lab,Exact Rate Match,19.15,J,
Account Management,Group Account Director,FTE,Hour,EU-PL,47.5,47.5,USD,OP_Content Lab,Exact Rate Match,20.21,J,
Account Management,Head of Account Management,FTE,Hour,UK-LON,275.0,275.0,GBP,OP_Content Lab,Exact Rate Match,117.02,O,
Account Management,Head of Account Management,FTE,Hour,EU-ES,195.0,195.0,EUR,OP_Content Lab,Exact Rate Match,82.98,N,
Account Management,Head of Account Management,FTE,Hour,EU-FR,250.0,250.0,EUR,OP_Content Lab,Exact Rate Match,106.38,O,
Account Management,Head of Account Management,FTE,Hour,EU-DE,250.0,250.0,EUR,OP_Content Lab,Exact Rate Match,106.38,O,
Account Management,Head of Account Management,FTE,Hour,EU-IT,180.0,180.0,EUR,OP_Content Lab,Exact Rate Match,76.6,N,
Account Management,Head of Account Management,FTE,Hour,LATAM-BR,950.0,950.0,BRL,OP_Content Lab,Exact Rate Match,404.26,O,
Account Management,Head of Account Management,FTE,Hour,APAC-CN,1824.0,1824.0,CNY,OP_Content Lab,Exact Rate Match,776.17,O,
Account Management,Head of Account Management,FTE,Hour,NA-CA,220.0,220.0,CAD,OP_Content Lab,Exact Rate Match,93.62,O,
Account Management,Head of Account Management,FTE,Hour,EU-CH,250.0,250.0,CHF,OP_Content Lab,Exact Rate Match,106.38,O,
Account Management,Head of Account Management,FTE,Hour,APAC-IN,30.0,30.0,USD,OP_Content Lab,Exact Rate Match,12.77,J,
Account Management,Head of Account Management,FTE,Hour,APAC-CN-USD,42.0,42.0,USD,OP_Content Lab,Exact Rate Match,17.87,J,
Account Management,Head of Account Management,FTE,Hour,LATAM-MX,45.0,45.0,USD,OP_Content Lab,Exact Rate Match,19.15,J,
Account Management,Head of Account Management,FTE,Hour,EU-PL,47.5,47.5,USD,OP_Content Lab,Exact Rate Match,20.21,J,
Account Management,Head of Digital,FTE,Hour,UK-LON,200.0,200.0,GBP,OP_Content Lab,Exact Rate Match,85.11,N,
Account Management,Head of Digital,FTE,Hour,EU-ES,165.0,165.0,EUR,OP_Content Lab,Exact Rate Match,70.21,N,
Account Management,Head of Digital,FTE,Hour,EU-FR,220.0,220.0,EUR,OP_Content Lab,Exact Rate Match,93.62,O,
Account Management,Head of Digital,FTE,Hour,EU-DE,225.0,225.0,EUR,OP_Content Lab,Exact Rate Match,95.74,O,
Account Management,Head of Digital,FTE,Hour,EU-IT,175.0,175.0,EUR,OP_Content Lab,Exact Rate Match,74.47,N,
Account Management,Head of Digital,FTE,Hour,LATAM-BR,875.0,875.0,BRL,OP_Content Lab,Exact Rate Match,372.34,O,
Account Management,Head of Digital,FTE,Hour,APAC-CN,1325.0,1325.0,CNY,OP_Content Lab,Exact Rate Match,563.83,O,
Account Management,Head of Digital,FTE,Hour,NA-CA,195.0,195.0,CAD,OP_Content Lab,Exact Rate Match,82.98,N,
Account Management,Head of Digital,FTE,Hour,EU-CH,225.0,225.0,CHF,OP_Content Lab,Exact Rate Match,95.74,O,
Account Management,Head of Digital,FTE,Hour,APAC-IN,30.0,30.0,USD,OP_Content Lab,Exact Rate Match,12.77,J,
Account Management,Head of Digital,FTE,Hour,APAC-CN-USD,42.0,42.0,USD,OP_Content Lab,Exact Rate Match,17.87,J,
Account Management,Head of Digital,FTE,Hour,LATAM-MX,45.0,45.0,USD,OP_Content Lab,Exact Rate Match,19.15,J,
Account Management,Head of Digital,FTE,Hour,EU-PL,47.5,47.5,USD,OP_Content Lab,Exact Rate Match,20.21,J,
Business Affairs,Assistant Business Manager,FTE,Hour,UK-LON,95.0,95.0,GBP,OP_Content Lab,Exact Rate Match,40.43,L,
Business Affairs,Assistant Business Manager,FTE,Hour,EU-ES,100.0,100.0,EUR,OP_Content Lab,Exact Rate Match,42.55,L,
Business Affairs,Assistant Business Manager,FTE,Hour,EU-FR,140.0,140.0,EUR,OP_Content Lab,Exact Rate Match,59.57,M,
Business Affairs,Assistant Business Manager,FTE,Hour,EU-DE,140.0,140.0,EUR,OP_Content Lab,Exact Rate Match,59.57,M,
Business Affairs,Assistant Business Manager,FTE,Hour,EU-IT,120.0,120.0,EUR,OP_Content Lab,Exact Rate Match,51.06,M,
Business Affairs,Assistant Business Manager,FTE,Hour,LATAM-BR,580.0,580.0,BRL,OP_Content Lab,Exact Rate Match,246.81,O,
Business Affairs,Assistant Business Manager,FTE,Hour,APAC-CN,775.0,775.0,CNY,OP_Content Lab,Exact Rate Match,329.79,O,
Business Affairs,Assistant Business Manager,FTE,Hour,NA-CA,122.0,122.0,CAD,OP_Content Lab,Exact Rate Match,51.91,M,
Business Affairs,Assistant Business Manager,FTE,Hour,EU-CH,140.0,140.0,CHF,OP_Content Lab,Exact Rate Match,59.57,M,
Business Affairs,Assistant Business Manager,FTE,Hour,APAC-IN,30.0,30.0,USD,OP_Content Lab,Exact Rate Match,12.77,J,
Business Affairs,Assistant Business Manager,FTE,Hour,APAC-CN-USD,42.0,42.0,USD,OP_Content Lab,Exact Rate Match,17.87,J,
Business Affairs,Assistant Business Manager,FTE,Hour,LATAM-MX,45.0,45.0,USD,OP_Content Lab,Exact Rate Match,19.15,J,
Business Affairs,Assistant Business Manager,FTE,Hour,EU-PL,47.5,47.5,USD,OP_Content Lab,Exact Rate Match,20.21,J,
Business Affairs,Business Manager,FTE,Hour,UK-LON,130.0,130.0,GBP,OP_Content Lab,Exact Rate Match,55.32,M,
Business Affairs,Business Manager,FTE,Hour,EU-ES,120.0,120.0,EUR,OP_Content Lab,Exact Rate Match,51.06,M,
Business Affairs,Business Manager,FTE,Hour,EU-FR,175.0,175.0,EUR,OP_Content Lab,Exact Rate Match,74.47,N,
Business Affairs,Business Manager,FTE,Hour,EU-DE,150.0,150.0,EUR,OP_Content Lab,Exact Rate Match,63.83,N,
Business Affairs,Business Manager,FTE,Hour,EU-IT,127.0,127.0,EUR,OP_Content Lab,Exact Rate Match,54.04,M,
Business Affairs,Business Manager,FTE,Hour,LATAM-BR,640.0,640.0,BRL,OP_Content Lab,Exact Rate Match,272.34,O,
Business Affairs,Business Manager,FTE,Hour,APAC-CN,710.0,710.0,CNY,OP_Content Lab,Exact Rate Match,302.13,O,
Business Affairs,Business Manager,FTE,Hour,NA-CA,145.0,145.0,CAD,OP_Content Lab,Exact Rate Match,61.7,N,
Business Affairs,Business Manager,FTE,Hour,EU-CH,150.0,150.0,CHF,OP_Content Lab,Exact Rate Match,63.83,N,
Business Affairs,Business Manager,FTE,Hour,APAC-IN,30.0,30.0,USD,OP_Content Lab,Exact Rate Match,12.77,J,
Business Affairs,Business Manager,FTE,Hour,APAC-CN-USD,42.0,42.0,USD,OP_Content Lab,Exact Rate Match,17.87,J,
Business Affairs,Business Manager,FTE,Hour,LATAM-MX,45.0,45.0,USD,OP_Content Lab,Exact Rate Match,19.15,J,
Business Affairs,Business Manager,FTE,Hour,EU-PL,47.5,47.5,USD,OP_Content Lab,Exact Rate Match,20.21,J,
Business Affairs,Head of Business Affairs,FTE,Hour,UK-LON,180.0,180.0,GBP,OP_Content Lab,Exact Rate Match,76.6,N,
Business Affairs,Head of Business Affairs,FTE,Hour,EU-ES,155.0,155.0,EUR,OP_Content Lab,Exact Rate Match,65.96,N,
Business Affairs,Head of Business Affairs,FTE,Hour,EU-FR,200.0,200.0,EUR,OP_Content Lab,Exact Rate Match,85.11,N,
Business Affairs,Head of Business Affairs,FTE,Hour,EU-DE,210.0,210.0,EUR,OP_Content Lab,Exact Rate Match,89.36,O,
Business Affairs,Head of Business Affairs,FTE,Hour,EU-IT,145.0,145.0,EUR,OP_Content Lab,Exact Rate Match,61.7,N,
Business Affairs,Head of Business Affairs,FTE,Hour,LATAM-BR,790.0,790.0,BRL,OP_Content Lab,Exact Rate Match,336.17,O,
Business Affairs,Head of Business Affairs,FTE,Hour,APAC-CN,815.0,815.0,CNY,OP_Content Lab,Exact Rate Match,346.81,O,
Business Affairs,Head of Business Affairs,FTE,Hour,NA-CA,177.0,177.0,CAD,OP_Content Lab,Exact Rate Match,75.32,N,
Business Affairs,Head of Business Affairs,FTE,Hour,EU-CH,210.0,210.0,CHF,OP_Content Lab,Exact Rate Match,89.36,O,
Business Affairs,Head of Business Affairs,FTE,Hour,APAC-IN,30.0,30.0,USD,OP_Content Lab,Exact Rate Match,12.77,J,
Business Affairs,Head of Business Affairs,FTE,Hour,APAC-CN-USD,42.0,42.0,USD,OP_Content Lab,Exact Rate Match,17.87,J,
Business Affairs,Head of Business Affairs,FTE,Hour,LATAM-MX,45.0,45.0,USD,OP_Content Lab,Exact Rate Match,19.15,J,
Business Affairs,Head of Business Affairs,FTE,Hour,EU-PL,47.5,47.5,USD,OP_Content Lab,Exact Rate Match,20.21,J,
Business Affairs,Senior Business Manager,FTE,Hour,UK-LON,145.0,145.0,GBP,OP_Content Lab,Exact Rate Match,61.7,N,
Business Affairs,Senior Business Manager,FTE,Hour,EU-ES,127.0,127.0,EUR,OP_Content Lab,Exact Rate Match,54.04,M,
Business Affairs,Senior Business Manager,FTE,Hour,EU-FR,190.0,190.0,EUR,OP_Content Lab,Exact Rate Match,80.85,N,
Business Affairs,Senior Business Manager,FTE,Hour,EU-DE,190.0,190.0,EUR,OP_Content Lab,Exact Rate Match,80.85,N,
Business Affairs,Senior Business Manager,FTE,Hour,EU-IT,140.0,140.0,EUR,OP_Content Lab,Exact Rate Match,59.57,M,
Business Affairs,Senior Business Manager,FTE,Hour,LATAM-BR,675.0,675.0,BRL,OP_Content Lab,Exact Rate Match,287.23,O,
Business Affairs,Senior Business Manager,FTE,Hour,APAC-CN,740.0,740.0,CNY,OP_Content Lab,Exact Rate Match,314.89,O,
Business Affairs,Senior Business Manager,FTE,Hour,NA-CA,160.0,160.0,CAD,OP_Content Lab,Exact Rate Match,68.09,N,
Business Affairs,Senior Business Manager,FTE,Hour,EU-CH,190.0,190.0,CHF,OP_Content Lab,Exact Rate Match,80.85,N,
Business Affairs,Senior Business Manager,FTE,Hour,APAC-IN,30.0,30.0,USD,OP_Content Lab,Exact Rate Match,12.77,J,
Business Affairs,Senior Business Manager,FTE,Hour,APAC-CN-USD,42.0,42.0,USD,OP_Content Lab,Exact Rate Match,17.87,J,
Business Affairs,Senior Business Manager,FTE,Hour,LATAM-MX,45.0,45.0,USD,OP_Content Lab,Exact Rate Match,19.15,J,
Business Affairs,Senior Business Manager,FTE,Hour,EU-PL,47.5,47.5,USD,OP_Content Lab,Exact Rate Match,20.21,J,
Creative,Animation Artist,FTE,Hour,UK-LON,80.0,80.0,GBP,OP_Content Lab,Exact Rate Match,34.04,K,
Creative,Animation Artist,FTE,Hour,EU-ES,80.0,80.0,EUR,OP_Content Lab,Exact Rate Match,34.04,K,
Creative,Animation Artist,FTE,Hour,EU-FR,115.0,115.0,EUR,OP_Content Lab,Exact Rate Match,48.94,M,
Creative,Animation Artist,FTE,Hour,EU-DE,120.0,120.0,EUR,OP_Content Lab,Exact Rate Match,51.06,M,
Creative,Animation Artist,FTE,Hour,EU-IT,100.0,100.0,EUR,OP_Content Lab,Exact Rate Match,42.55,L,
Creative,Animation Artist,FTE,Hour,LATAM-BR,420.0,420.0,BRL,OP_Content Lab,Exact Rate Match,178.72,O,
